"country_name","country_code","variant","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",2535814.028,2771756.195,3032689.231,3339022.729,3699956.083,4078422.166,4457705.398,4873013.814,5330098.796,5750564.754,6144050.675,6541155.959,6957136.392,7381949.032,7793931.63603945,8182981.49758132,8547266.64646367,8881589.94144229,9194228.29434264,9480791.56555189,9739239.15923828,9970133.57298524,10181904.0567866,10362829.1781898,10538062.7529988,10697190.126319,10835206.0160405,10952937.5584983,11069964.6736023,11198869.3496161,11314268.7582347
"WORLD",900,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7762829.44329916,8109305.48726875,8432974.23691108,8725106.52718227,8981172.00099026,9208358.64150676,9394264.42990296,9539642.42778871,9664525.37309418,9754441.02448871,9822839.75252716,9880974.49124415,9915646.52524966,9924311.49180061,9933752.24766551,9908586.27306898,9852638.64329199
"WORLD",900,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7381949.032,7823605.09426292,8252272.7719761,8661726.93173362,9043760.53974781,9404942.31729713,9751040.42942041,10089683.4789472,10400654.2195563,10708198.8675692,10986344.3703127,11272073.7012345,11531928.1823252,11807355.3025581,12053692.4606606,12307895.5576186,12575591.5876131,12869676.7446573
"AFRICA",903,"median",228665.039,253990.141,285137.224,322465.997,366454.02,417892.892,480006.857,552790.682,634561.549,722916.667,817560.881,924753.409,1049442.188,1194365.829,1352173.21267756,1520588.40798412,1700238.46778523,1891068.63385006,2091084.01852433,2296618.3421467,2510641.93452744,2722888.16240259,2940427.00412482,3154324.53777802,3366271.59772741,3572979.38631182,3773454.74280011,3975113.18415169,4171438.57174908,4350395.04961763,4526717.49026321
"AFRICA",903,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1346344.00455751,1506430.7159746,1672336.60380203,1846103.05177903,2024072.49253923,2201958.61492911,2381678.41987544,2557435.04803108,2727647.66904431,2888708.57908663,3043097.62019205,3195684.01435393,3329789.31090561,3452622.77407643,3573097.62470673,3672408.36287639,3753913.28345413
"AFRICA",903,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194365.829,1358036.17649382,1535175.55874779,1725979.96629582,1931880.65361183,2153901.25266866,2387426.69890431,2631297.99138979,2885904.95389583,3156344.23367873,3432273.02280165,3715958.32317181,3997953.91981817,4281915.80977418,4570745.6254264,4853304.11042544,5157570.55432322,5439377.03381671
"LATIN AMERICA AND THE CARIBBEAN",904,"median",168772.049,193069.122,220886.699,253207.405,287899.654,325081.007,364086.289,404850.955,445691.814,486614.695,525533.607,561371.122,597249.237,632042.999,663972.212475167,692897.217831337,718248.883332618,739264.273796793,756124.487708976,768558.305787196,777466.861915507,782618.189217713,783840.88437948,782226.684005631,776963.302364,769186.037507936,760449.931650367,749155.021021853,736493.252394052,723794.847900792,710051.327164383
"LATIN AMERICA AND THE CARIBBEAN",904,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,659925.919893361,683526.216608344,702121.111563857,716263.324871102,725555.451377351,732254.382173536,731951.242703605,728163.609194805,720903.1592708,710408.1567856,695600.599667825,679012.502265548,661505.596400388,640586.175090866,618957.661756659,596093.873872366,574267.911308383
"LATIN AMERICA AND THE CARIBBEAN",904,"0.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632042.999,668114.619481548,701957.420944556,732304.948155257,758548.108235871,781471.119237164,801488.712564957,818093.912893376,831278.759479848,842002.743988157,848225.583419803,852982.908524657,855250.61211798,855998.167159584,855170.428080614,852326.643881644,850487.057221103,847843.289964073
"NORTHERN AMERICA",905,"median",172537.795,187522.205,204725.457,219519.433,231040.884,242361.5,254300.479,266698.075,280222.626,294988.923,312718.548,327417.484,342810.063,355878.87,369040.52679168,382417.307507144,395277.465137701,406836.15373745,416798.170820092,425834.980254914,434283.414113565,442253.999295564,450603.66665003,458586.158511654,466486.068776776,473638.929494324,479085.393329016,484044.967616849,488504.49043819,492315.490809602,496426.236439925
