"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"Burundi","108","median","6","5.5676","5.1687","4.7989","4.4263","4.1015","3.839","3.6061","3.3746","3.1701","3.0074","2.8552","2.7235","2.6016","2.4989","2.4271","2.3463","2.2465"
"Burundi","108","lower 80","6","5.2928","4.6815","4.1152","3.6344","3.2045","2.8494","2.5252","2.3547","2.2099","2.0937","1.9339","1.8892","1.7911","1.7369","1.695","1.6302","1.6086"
"Burundi","108","upper 80","6","5.8309","5.5663","5.2919","5.039","4.8333","4.5704","4.3598","4.1751","4.0457","3.9077","3.8001","3.6662","3.5429","3.4372","3.371","3.2415","3.1519"
"Burundi","108","lower 95","6","5.1213","4.3322","3.592","3.0081","2.5462","2.2031","2.0316","1.8536","1.7413","1.6088","1.5291","1.5124","1.417","1.4034","1.3347","1.3141","1.2762"
"Burundi","108","upper 95","6","5.9751","5.7639","5.5347","5.3621","5.0631","4.9103","4.7092","4.5448","4.4014","4.2842","4.2485","4.1151","4.0857","4.0212","3.8859","3.7675","3.7635"
"Burundi","108","-0.5child","6","5.3176","4.7687","4.2989","3.9263","3.6015","3.339","3.1061","2.8746","2.6701","2.5074","2.3552","2.2235","2.1016","1.9989","1.9271","1.8463","1.7465"
"Burundi","108","+0.5child","6","5.8176","5.5687","5.2989","4.9263","4.6015","4.339","4.1061","3.8746","3.6701","3.5074","3.3552","3.2235","3.1016","2.9989","2.9271","2.8463","2.7465"
"Burundi","108","constant","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Comoros","174","median","4.6","4.2342","3.9074","3.6439","3.413","3.1885","3.0123","2.8806","2.7384","2.6223","2.5051","2.4213","2.3218","2.2282","2.1652","2.1053","2.0387","1.9987"
"Comoros","174","lower 80","4.6","3.9442","3.4779","3.1107","2.8298","2.6064","2.4112","2.2587","2.1265","2.0121","1.9007","1.8241","1.7498","1.6745","1.5889","1.5361","1.5062","1.4867"
