"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7348416,7756662,8139268,8495768,8829269,9137154,9428138,9690688,9924085,10129786,10323543,10499192,10647599,10784935,10913964,11031347,11147610,11245862
"WORLD",900,"lower 80",7348416,7731823,8087178,8408527,8703029,8970173,9216661,9419602,9589870,9728301,9840814,9925953,9998245,10043735,10089020,10107655,10105291,10101122
"WORLD",900,"upper 80",7348416,7779477,8191351,8582156,8949273,9305375,9645992,9965780,10266520,10549299,10825939,11073959,11333598,11581630,11826276,12059195,12311980,12534078
"WORLD",900,"lower 95",7348416,7716428,8051750,8363085,8637309,8882849,9102384,9273695,9416947,9509612,9575344,9635685,9670629,9684063,9685614,9687162,9672848,9660631
"WORLD",900,"upper 95",7348416,7792605,8228528,8639574,9025558,9394681,9752750,10093950,10434324,10752260,11073658,11398291,11717939,12023206,12343310,12663301,12951512,13227845
"AFRICA",903,"median",1186174,1340201,1504449,1678517,1862690,2057015,2258730,2464816,2673522,2882312,3092081,3304239,3509768,3715250,3917548,4106913,4285738,4463136
"AFRICA",903,"lower 80",1186174,1335975,1492859,1658997,1830472,2008194,2189288,2370973,2551714,2724371,2891094,3053517,3210011,3349286,3481896,3604651,3723949,3810588
"AFRICA",903,"upper 80",1186174,1344828,1515525,1699620,1896383,2107829,2329765,2562341,2803747,3051530,3302777,3564343,3836417,4118226,4383114,4659771,4941004,5222104
"AFRICA",903,"lower 95",1186174,1332781,1485749,1645854,1806869,1976136,2142065,2312003,2476902,2628512,2779886,2919769,3043675,3161818,3272808,3373887,3470657,3542886
"AFRICA",903,"upper 95",1186174,1347351,1521493,1710751,1915859,2132760,2368524,2612520,2877781,3157490,3438101,3732450,4039835,4355554,4680350,5008795,5334332,5671926
"LATIN AMERICA AND THE CARIBBEAN",904,"median",634048,666059,694932,720265,741163,757828,771030,779521,784879,786231,783487,777472,769510,759724,747603,734074,719726,705063
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",634048,662500,687338,707327,723342,734418,741093,743630,741589,735897,726602,715666,701471,685078,665684,646995,625269,603480
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 80",634048,669375,702300,732245,758774,780725,799471,815048,827092,836317,841673,845481,845730,843470,839153,834981,828515,821671
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 95",634048,660937,683393,702477,717009,725166,728878,729465,724351,717371,705043,688957,669102,647826,624432,600433,577405,550463
