"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"Burundi","108","median","6","5.5638","5.1684","4.7603","4.4281","4.1111","3.848","3.5901","3.3703","3.1644","2.9984","2.8449","2.7195","2.6195","2.5508","2.4565","2.3664","2.3139"
"Burundi","108","lower 80","6","5.2969","4.7055","4.1446","3.6104","3.1505","2.896","2.6406","2.417","2.2354","2.1045","1.9972","1.9143","1.8375","1.7398","1.6813","1.626","1.5822"
"Burundi","108","upper 80","6","5.8248","5.5723","5.2811","5.0184","4.8006","4.5772","4.3819","4.1583","4.0257","3.8858","3.7729","3.6262","3.5264","3.4179","3.3222","3.2562","3.1946"
"Burundi","108","lower 95","6","5.1077","4.4197","3.6243","2.9772","2.5827","2.3024","2.047","1.8468","1.6837","1.6123","1.514","1.4824","1.41","1.3112","1.2304","1.2234","1.1523"
"Burundi","108","upper 95","6","5.9548","5.7554","5.5354","5.3215","5.0391","4.8973","4.711","4.5624","4.5137","4.2891","4.1588","4.0596","3.9628","3.8256","3.7987","3.709","3.5978"
"Burundi","108","-0.5child","6","5.3138","4.7684","4.2603","3.9281","3.6111","3.348","3.0901","2.8703","2.6644","2.4984","2.3449","2.2195","2.1195","2.0508","1.9565","1.8664","1.8139"
"Burundi","108","+0.5child","6","5.8138","5.5684","5.2603","4.9281","4.6111","4.348","4.0901","3.8703","3.6644","3.4984","3.3449","3.2195","3.1195","3.0508","2.9565","2.8664","2.8139"
"Burundi","108","constant","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Comoros","174","median","4.6","4.2398","3.9444","3.6419","3.3957","3.2173","3.0508","2.8888","2.7726","2.6268","2.529","2.4364","2.3709","2.3033","2.2259","2.1813","2.1358","2.1263"
"Comoros","174","lower 80","4.6","3.9368","3.5134","3.1396","2.8072","2.6008","2.3836","2.2308","2.1119","2.0035","1.887","1.7884","1.7219","1.6649","1.608","1.5125","1.4866","1.4451"
"Comoros","174","upper 80","4.6","4.5422","4.3473","4.1302","3.9327","3.7795","3.6478","3.5281","3.4061","3.3289","3.2212","3.1288","3.0403","2.9788","2.9264","2.8361","2.8118","2.7569"
"Comoros","174","lower 95","4.6","3.7926","3.2346","2.8436","2.5029","2.1838","1.9691","1.8126","1.7023","1.6443","1.5132","1.462","1.3551","1.3279","1.2577","1.2444","1.1567","1.1009"
"Comoros","174","upper 95","4.6","4.709","4.5859","4.3659","4.1945","4.0825","3.9743","3.8703","3.7618","3.6789","3.5722","3.447","3.3777","3.291","3.2303","3.2017","3.1636","3.0877"
"Comoros","174","-0.5child","4.6","3.9898","3.5444","3.1419","2.8957","2.7173","2.5508","2.3888","2.2726","2.1268","2.029","1.9364","1.8709","1.8033","1.7259","1.6813","1.6358","1.6263"
"Comoros","174","+0.5child","4.6","4.4898","4.3444","4.1419","3.8957","3.7173","3.5508","3.3888","3.2726","3.1268","3.029","2.9364","2.8709","2.8033","2.7259","2.6813","2.6358","2.6263"
"Comoros","174","constant","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6"
"Djibouti","262","median","3.1","2.7557","2.5171","2.3233","2.1756","2.0508","1.9854","1.9152","1.8675","1.8468","1.8384","1.8268","1.8443","1.8324","1.8532","1.8854","1.8916","1.9229"
"Djibouti","262","lower 80","3.1","2.4607","2.1196","1.8995","1.7381","1.6057","1.4765","1.4087","1.3136","1.2573","1.2384","1.2023","1.1842","1.1897","1.1763","1.202","1.1935","1.2063"
