"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7381949,7796452,8186970,8555543,8901708,9230371,9539529,9826447,10096152,10344122,10589947,10836383,11069879,11323327,11577920,11853726,12142235,12434907
"WORLD",900,"lower 80",7381949,7771103,8134559,8473065,8783603,9068303,9324762,9553692,9760092,9951388,10117373,10270582,10419967,10565991,10722492,10858816,11008961,11156593
"WORLD",900,"upper 80",7381949,7821062,8239476,8641700,9032312,9397050,9772026,10119781,10470521,10821105,11156270,11501039,11857690,12220190,12637943,13081969,13523642,14002698
"WORLD",900,"lower 95",7381949,7758220,8109478,8430949,8725971,8991062,9222746,9429296,9600725,9754394,9873787,9999035,10094735,10200888,10315146,10380066,10447456,10554882
"WORLD",900,"upper 95",7381949,7832802,8267045,8688299,9088127,9486740,9896780,10300323,10680139,11075575,11480978,11900445,12334964,12774753,13290655,13872528,14448609,15078726
"AFRICA",903,"median",1194366,1352447,1520922,1700331,1891796,2092342,2301496,2512549,2729133,2947046,3161922,3383091,3596808,3811517,4015879,4216475,4414261,4606785
"AFRICA",903,"lower 80",1194366,1348155,1510710,1680864,1858494,2042144,2228462,2415228,2599830,2787109,2967693,3144519,3312836,3476778,3630355,3767460,3908007,4035184
"AFRICA",903,"upper 80",1194366,1356883,1531738,1719506,1921912,2137579,2365874,2602559,2853230,3106783,3368861,3639764,3924099,4200153,4478089,4776637,5052346,5357381
"AFRICA",903,"lower 95",1194366,1345567,1504921,1671780,1842369,2017524,2195743,2371526,2544665,2709500,2872381,3032314,3185155,3324448,3439891,3549332,3654457,3742107
"AFRICA",903,"upper 95",1194366,1359322,1538643,1731561,1940270,2168037,2407697,2668489,2935680,3214605,3502964,3805866,4121256,4439554,4772043,5119663,5455573,5825889
"LATIN AMERICA AND THE CARIBBEAN",904,"median",632043,664292,693227,718614,740277,758069,772796,783649,792045,796673,798919,799587,800102,798478,797684,796269,795395,798525
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",632043,661002,686216,707030,723872,735991,743095,746437,746984,742852,736705,728044,715277,702061,688959,675162,660661,648591
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 80",632043,667535,700320,730809,758078,782264,804137,821983,841278,859163,874147,888861,903804,919731,936647,955044,974272,999244
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 95",632043,659163,682174,699771,713492,721896,727013,728008,723694,716200,703945,688505,673277,654938,635184,615859,594915,573430
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 95",632043,669508,704105,736887,766506,793427,817698,843358,867854,890291,911960,935854,959278,981722,1010780,1041674,1084464,1125670
"NORTHERN AMERICA",905,"median",355879,369464,383623,397927,411429,424220,436478,449271,462505,477884,494510,512265,530470,550075,571890,593551,619130,646049
"NORTHERN AMERICA",905,"lower 80",355879,368256,380797,393132,404188,414573,423775,432647,441943,451607,462559,473098,483935,494270,506539,518129,531200,545242
"NORTHERN AMERICA",905,"upper 80",355879,370732,386527,402907,418474,434172,449491,465918,484353,505560,528710,553865,580986,609391,642354,677961,717250,761435
"NORTHERN AMERICA",905,"lower 95",355879,367401,378956,389886,400036,408463,416290,423191,429621,436029,442702,449667,457111,463544,469517,474004,481693,488581
"NORTHERN AMERICA",905,"upper 95",355879,371413,388056,405066,422079,439466,456845,474831,496524,519369,544793,573554,604701,641730,683196,727668,777983,833600
"EUROPE",908,"median",740460,742995,742587,740556,737178,733433,730054,727235,724866,722844,721825,723183,728150,736840,748542,763052,780788,801158
"EUROPE",908,"lower 80",740460,741553,739449,735791,730470,724919,719263,713748,707495,701432,696069,693118,692919,695117,700020,707588,717276,729116
"EUROPE",908,"upper 80",740460,744365,745443,745153,743857,742433,741685,742292,742908,745247,749044,755488,765676,780859,799921,823888,851923,882234
"EUROPE",908,"lower 95",740460,740814,738084,733476,727383,720343,713011,706060,698259,690347,683165,676472,674548,673133,675055,679623,683375,691239
"EUROPE",908,"upper 95",740460,745043,746742,747414,746722,746242,746870,748748,751393,755167,761393,771952,785830,803279,827137,855083,888459,927360
"OCEANIA",909,"median",39304,42153,44859,47486,49990,52404,54833,57233,59597,61871,64105,66298,68497,70760,72977,75357,77706,80299
"OCEANIA",909,"lower 80",39304,41927,44320,46569,48666,50631,52461,54150,55736,57148,58425,59504,60357,61152,61876,62501,63185,63597
"OCEANIA",909,"upper 80",39304,42364,45365,48365,51327,54294,57396,60465,63706,66919,70264,73710,77250,81054,85016,89295,93847,98263
"OCEANIA",909,"lower 95",39304,41810,44086,46185,48091,49794,51236,52500,53617,54665,55541,56274,56770,57145,57304,57187,57200,56796
"OCEANIA",909,"upper 95",39304,42504,45700,48841,52058,55280,58582,62063,65703,69713,73569,77432,81648,86211,90676,95821,101467,107769
"ASIA",935,"median",4419898,4625005,4801560,4950381,5073231,5174485,5248059,5297964,5331648,5349155,5358096,5354735,5354227,5356789,5369367,5381597,5413898,5456238
"ASIA",935,"lower 80",4419898,4603949,4758855,4884957,4983817,5048433,5088102,5091472,5079466,5044802,4999803,4941800,4880417,4817624,4765805,4701010,4646842,4613231
"ASIA",935,"upper 80",4419898,4645410,4846523,5022443,5176384,5305527,5422689,5523504,5612950,5696799,5760114,5831757,5900349,5990038,6101712,6219059,6353875,6508342
"ASIA",935,"lower 95",4419898,4594796,4740557,4852857,4930387,4990938,5010748,5002156,4966975,4922240,4852036,4779729,4690984,4599017,4513691,4428995,4369113,4305420
"ASIA",935,"upper 95",4419898,4654756,4865832,5057998,5224692,5364478,5505099,5631560,5754177,5868128,5986292,6070199,6205716,6368809,6528402,6750293,6994162,7271733
