"country_name","country_code","variant","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
"Burundi","108","median","6","5.572","5.1786","4.8221","4.4767","4.1634","3.8735","3.6288","3.3993","3.2166","3.0591","2.8942","2.7488","2.6572","2.5648","2.468","2.4055","2.3225"
"Burundi","108","lower 80","6","5.2855","4.6758","4.1492","3.6571","3.2523","2.8727","2.6055","2.4167","2.192","2.0624","1.9485","1.895","1.8221","1.7761","1.6923","1.6886","1.6297"
"Burundi","108","upper 80","6","5.854","5.5935","5.3266","5.0714","4.8073","4.6108","4.4565","4.2666","4.0597","3.9329","3.8069","3.6833","3.6275","3.5099","3.3899","3.2675","3.1687"
"Burundi","108","lower 95","6","5.1149","4.2888","3.6045","2.9056","2.5134","2.2335","2.0172","1.8534","1.7217","1.6392","1.5902","1.5581","1.4306","1.4044","1.3304","1.261","1.2693"
"Burundi","108","upper 95","6","6.0094","5.813","5.5557","5.3588","5.1394","4.9465","4.8228","4.5892","4.4708","4.3277","4.2678","4.1213","4.0617","3.9604","3.8333","3.8224","3.69"
"Burundi","108","-0.5child","6","5.322","4.7786","4.3221","3.9767","3.6634","3.3735","3.1288","2.8993","2.7166","2.5591","2.3942","2.2488","2.1572","2.0648","1.968","1.9055","1.8225"
"Burundi","108","+0.5child","6","5.822","5.5786","5.3221","4.9767","4.6634","4.3735","4.1288","3.8993","3.7166","3.5591","3.3942","3.2488","3.1572","3.0648","2.968","2.9055","2.8225"
"Burundi","108","constant","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Comoros","174","median","4.6","4.2401","3.9269","3.6521","3.3976","3.205","3.0414","2.887","2.7353","2.6439","2.5462","2.4506","2.38","2.3133","2.2428","2.1829","2.1565","2.1193"
"Comoros","174","lower 80","4.6","3.9404","3.4941","3.142","2.8626","2.6188","2.4227","2.2822","2.1227","2.0087","1.8763","1.8092","1.7308","1.6679","1.6018","1.5706","1.4888","1.488"
"Comoros","174","upper 80","4.6","4.5373","4.3465","4.1227","3.9577","3.7984","3.6366","3.5274","3.3826","3.2769","3.161","3.0923","3.0488","2.9755","2.873","2.8277","2.8186","2.7183"
"Comoros","174","lower 95","4.6","3.8004","3.284","2.8716","2.5739","2.2119","2.0741","1.891","1.8","1.6909","1.5541","1.4409","1.3308","1.3178","1.2262","1.2041","1.1514","1.1533"
"Comoros","174","upper 95","4.6","4.6975","4.5604","4.3973","4.2025","4.0988","4.035","3.9025","3.7384","3.6012","3.537","3.4904","3.4474","3.3941","3.3514","3.314","3.1839","3.0999"
"Comoros","174","-0.5child","4.6","3.9901","3.5269","3.1521","2.8976","2.705","2.5414","2.387","2.2353","2.1439","2.0462","1.9506","1.88","1.8133","1.7428","1.6829","1.6565","1.6193"
