"country_name","country_code","variant","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WORLD",900,"median",7348416,7756176,8138186,8494409,8835078,9153259,9452634,9732848,9989150,10225662,10457796,10678666,10888103,11102701,11317524,11533792,11757490,11992844
"WORLD",900,"lower 80",7348416,7731564,8086969,8408505,8707294,8986812,9239182,9457012,9631763,9796157,9931335,10062121,10180284,10280121,10382357,10480423,10543396,10643493
"WORLD",900,"upper 80",7348416,7780283,8192753,8582703,8956179,9311892,9662108,10002309,10324145,10636840,10938847,11273431,11592989,11922112,12260578,12626923,13019005,13451356
"WORLD",900,"lower 95",7348416,7719418,8061655,8360980,8632684,8881931,9100841,9282275,9436843,9547189,9644751,9733192,9799390,9862109,9908237,9937043,9970535,9979246
"WORLD",900,"upper 95",7348416,7795881,8225005,8630168,9016482,9400054,9777835,10160249,10525269,10887870,11252647,11629935,12015354,12409007,12802173,13248174,13742453,14226597
"AFRICA",903,"median",1186174,1340353,1504955,1679567,1864518,2060143,2261874,2469240,2680282,2896598,3109150,3323732,3537272,3744914,3951269,4151806,4350936,4541511
"AFRICA",903,"lower 80",1186174,1336095,1493548,1658403,1831675,2009523,2193120,2376861,2556473,2735728,2908350,3073553,3238251,3392194,3538568,3666811,3782348,3899648
"AFRICA",903,"upper 80",1186174,1344905,1515565,1699962,1897406,2110047,2334712,2568831,2810189,3062528,3323996,3591190,3858027,4127836,4407053,4700030,4993781,5274570
"AFRICA",903,"lower 95",1186174,1333806,1487030,1647292,1812042,1979975,2148639,2318232,2487768,2650675,2809300,2958674,3099603,3230352,3347331,3455363,3546375,3619238
"AFRICA",903,"upper 95",1186174,1347274,1521055,1710421,1914357,2135689,2368947,2619436,2878681,3153514,3434875,3728546,4056080,4357685,4683296,5024464,5374495,5730122
"LATIN AMERICA AND THE CARIBBEAN",904,"median",634048,665727,694718,719885,741369,758950,772608,782403,788567,791570,792348,790757,785599,779636,774352,766798,759950,754985
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 80",634048,662546,687134,707204,722408,733088,739795,742667,740883,735444,726254,716043,701479,685026,665939,647416,627027,606834
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 80",634048,669101,701982,731696,758601,782166,803591,822167,837249,848929,860098,870148,879278,887054,895474,903723,915461,925982
"LATIN AMERICA AND THE CARIBBEAN",904,"lower 95",634048,660932,683856,701581,714539,723096,726633,725039,719459,708666,694422,678840,661410,642222,618298,597764,571788,546450
"LATIN AMERICA AND THE CARIBBEAN",904,"upper 95",634048,670912,706170,738458,767808,795665,820238,843746,865150,884748,901214,917403,934491,947641,966050,990925,1014287,1039834
"NORTHERN AMERICA",905,"median",357714,371210,384428,397085,408862,419828,430244,440595,451389,463035,475361,488746,502631,516344,530493,546086,562508,580873
"NORTHERN AMERICA",905,"lower 80",357714,369966,381643,392294,401840,410166,417252,423575,429730,435594,442713,449570,455897,462045,467876,474081,481393,487237
"NORTHERN AMERICA",905,"upper 80",357714,372407,387329,402023,416174,429671,443004,457063,472739,489739,509380,530503,552640,576435,602845,631299,662617,698514
"NORTHERN AMERICA",905,"lower 95",357714,369350,380332,389950,397714,404321,409380,413917,417609,421331,425175,428662,430807,432758,433107,433306,433643,434779
"NORTHERN AMERICA",905,"upper 95",357714,373118,388814,404564,419376,434174,449586,466408,484566,505005,527420,552294,579508,609521,644370,681929,723631,772071
"EUROPE",908,"median",738096,738828,736768,732579,726961,720588,714678,708612,702015,695409,689765,685627,684338,685822,689854,696101,703764,713814
"EUROPE",908,"lower 80",738096,737531,733978,728134,720770,712252,703633,694573,684628,674656,664775,656476,650885,647317,645263,644674,645221,648314
"EUROPE",908,"upper 80",738096,740121,739627,736977,732833,728420,724581,721435,719113,715901,714939,716370,720964,728791,739890,753275,768564,785542
"EUROPE",908,"lower 95",738096,736755,732513,725483,716644,707209,697125,686745,674734,662572,649085,637537,628260,621828,615763,610715,608524,607672
"EUROPE",908,"upper 95",738096,740756,741209,739540,736497,733385,730534,728715,726804,725853,725747,728130,734391,744201,757880,775210,793597,815516
"OCEANIA",909,"median",39089,41856,44469,47027,49471,51804,54099,56389,58539,60675,62713,64621,66435,68126,69982,71769,73487,75169
"OCEANIA",909,"lower 80",39089,41645,43988,46202,48196,50083,51841,53439,54880,56143,57254,58279,59153,59671,60028,60437,60814,60957
"OCEANIA",909,"upper 80",39089,42076,44984,47868,50722,53532,56401,59296,62277,65300,68420,71590,74620,77715,81029,84356,87890,91602
"OCEANIA",909,"lower 95",39089,41532,43726,45716,47563,49129,50577,51824,52867,53679,54235,54777,55096,55287,55214,55030,55038,54584
"OCEANIA",909,"upper 95",39089,42214,45269,48281,51331,54382,57474,60803,64252,67686,71387,75309,79201,83356,87548,92021,97119,102269
"ASIA",935,"median",4393296,4598084,4772356,4920004,5043310,5142702,5220105,5272112,5302124,5316598,5315895,5305828,5286302,5271727,5253778,5239220,5239460,5239767
"ASIA",935,"lower 80",4393296,4578286,4730692,4853750,4946215,5010668,5052386,5066044,5050526,5012455,4960290,4898255,4825923,4732675,4655310,4577312,4506328,4438105
"ASIA",935,"upper 80",4393296,4618488,4817185,4987904,5137508,5264971,5387669,5485833,5568333,5642904,5695672,5757358,5810947,5878773,5962982,6058656,6158940,6272301
"ASIA",935,"lower 95",4393296,4567051,4710647,4813548,4891891,4937428,4958176,4945816,4883040,4812732,4722552,4616764,4505159,4383382,4261429,4149938,4039328,3950819
"ASIA",935,"upper 95",4393296,4631850,4842595,5028289,5192691,5339352,5476386,5604286,5723851,5826726,5926595,6018659,6118721,6227960,6363837,6505633,6677727,6851530
